Source path,Class name,QName local name,Dynamically invoked in tests,Matching test paths
exist-core/src/main/java/org/exist/xquery/functions/websocket/WebSocketFunctions.java,org.exist.xquery.functions.websocket.WebSocketFunctions,log,true,exist-core/src/test/xquery/transform/catalog.xql; exist-docker/src/test/bats/02-config-spec.bats; exist-core/src/test/java/org/exist/xquery/NodeTypeTest.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTrigger2Test.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTriggerTest.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTriggerChainTest.java; exist-core/src/test/java/org/exist/collections/ConcurrencyTest.java; extensions/modules/http-client/src/test/java/org/exist/xquery/modules/httpclient/SendRequestFunctionTest.java
exist-core/src/main/java/org/exist/xquery/functions/websocket/WebSocketFunctions.java,org.exist.xquery.functions.websocket.WebSocketFunctions,send,false,
exist-core/src/main/java/org/exist/xquery/functions/websocket/WebSocketFunctions.java,org.exist.xquery.functions.websocket.WebSocketFunctions,broadcast,false,
exist-core/src/main/java/org/exist/xquery/functions/websocket/WebSocketFunctions.java,org.exist.xquery.functions.websocket.WebSocketFunctions,channel-count,false,
exist-core/src/main/java/org/exist/xquery/functions/websocket/ConsoleCompatFunctions.java,org.exist.xquery.functions.websocket.ConsoleCompatFunctions,log,true,exist-core/src/test/xquery/transform/catalog.xql; exist-docker/src/test/bats/02-config-spec.bats; exist-core/src/test/java/org/exist/xquery/NodeTypeTest.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTrigger2Test.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTriggerTest.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTriggerChainTest.java; exist-core/src/test/java/org/exist/collections/ConcurrencyTest.java; extensions/modules/http-client/src/test/java/org/exist/xquery/modules/httpclient/SendRequestFunctionTest.java
exist-core/src/main/java/org/exist/xquery/functions/websocket/ConsoleCompatFunctions.java,org.exist.xquery.functions.websocket.ConsoleCompatFunctions,send,false,
exist-core/src/main/java/org/exist/xquery/functions/xmldb/XMLDBStore.java,org.exist.xquery.functions.xmldb.XMLDBStore,store,true,exist-core/src/main/resources/org/exist/xquery/lib/xqsuite/examples.xql; exist-core/src/test/xquery/arrays/arrays.xql; exist-core/src/test/xquery/axes-persistent-nodes.xqm; exist-core/src/test/xquery/axes.xql; exist-core/src/test/xquery/base-uri.xql; exist-core/src/test/xquery/binary-value.xqm; exist-core/src/test/xquery/collations.xq; exist-core/src/test/xquery/count.xql; exist-core/src/test/xquery/document-nodes.xq; exist-core/src/test/xquery/exceptOperator.xql; exist-core/src/test/xquery/fn-not.xq; exist-core/src/test/xquery/fn-position.xqm; exist-core/src/test/xquery/fn.xql; exist-core/src/test/xquery/guest.xql; exist-core/src/test/xquery/indexing/indexes-base-uri.xq; exist-core/src/test/xquery/inspect/inspect.xql; exist-core/src/test/xquery/last.xql; exist-core/src/test/xquery/logicalOp/andor.xql; exist-core/src/test/xquery/npt.xqm; exist-core/src/test/xquery/optimizer/expressions.xqm; exist-core/src/test/xquery/optimizer/positional.xqm; exist-core/src/test/xquery/positional-nested.xql; exist-core/src/test/xquery/preceding-axis.xql; exist-core/src/test/xquery/question-marks-in-contains-function.xql; exist-core/src/test/xquery/securitymanager/id.xqm; exist-core/src/test/xquery/securitymanager/permission-error-codes.xqm; exist-core/src/test/xquery/simple-map-predicate.xq; exist-core/src/test/xquery/system/get-main-module-load-path.xqm; exist-core/src/test/xquery/system/get-module-load-path.xqm; exist-core/src/test/xquery/unicode.xqm; exist-core/src/test/xquery/unparsed-text.xql; exist-core/src/test/xquery/util/document-id.xqm; exist-core/src/test/xquery/util/get-fragment-between.xqm; exist-core/src/test/xquery/validation/jaxp.xql; exist-core/src/test/xquery/validation/jaxv.xql; exist-core/src/test/xquery/xmldb/copy-tests.xql; exist-core/src/test/xquery/xmldb/last-modified.xql; exist-core/src/test/xquery/xmldb/permission-tests.xql; exist-core/src/test/xquery/xmldb/reindex-tests.xql; exist-core/src/test/xquery/xmldb/store-binary-tests.xql; exist-core/src/test/xquery/xmlid.xql; exist-core/src/test/xquery/xquery-update.xql; exist-core/src/test/xquery/xquery3/bindingConflict.xqm; exist-core/src/test/xquery/xquery3/flwor.xql; exist-core/src/test/xquery/xquery3/fnExcept.xqm; exist-core/src/test/xquery/xquery3/fnIntersect.xqm; exist-core/src/test/xquery/xquery3/fnUriCollection.xqm; exist-core/src/test/xquery/xquery3/generate-id.xqm; exist-core/src/test/xquery/xquery3/higher-order.xqm; exist-core/src/test/xquery/xquery3/precedingFollowingAfterNot.xqm; exist-core/src/test/xquery/xquery3/serialize.xql; exist-core/src/test/xquery/xquery3/transform/doc-as-parameter.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform5052.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform5882.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform6065.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransformIssue4609.xqm; exist-core/src/test/xquery/xquery3/xml-to-json.xql; exist-docker/src/test/bats/03-xquery-spec.bats; extensions/exquery/restxq/src/test/xquery/restxq/arrays.xq; extensions/indexes/indexes-integration-tests/src/test/xquery/indexing/tests/exist-matches.xqm; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-diacritics.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-english.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/facet-drilldown-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/field-expression-context.xqm; extensions/indexes/lucene/src/test/xquery/lucene/for-variable.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-attr-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-edge.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-facets.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-field-types.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-match.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-forms.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-search-binary.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ignore-condition.xql; extensions/indexes/lucene/src/test/xquery/lucene/index-keys.xql; extensions/indexes/lucene/src/test/xquery/lucene/indirect-queries.xql; extensions/indexes/lucene/src/test/xquery/lucene/inline-elements.xql; extensions/indexes/lucene/src/test/xquery/lucene/inline-ignore.xql; extensions/indexes/lucene/src/test/xquery/lucene/match-highlighting.xql; extensions/indexes/lucene/src/test/xquery/lucene/optimizer-ft.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-location-step.xql; extensions/indexes/lucene/src/test/xquery/lucene/reindex-second-store.xqm; extensions/indexes/lucene/src/test/xquery/lucene/self-axis-index.xqm; extensions/indexes/lucene/src/test/xquery/lucene/serialize.xql; extensions/indexes/lucene/src/test/xquery/lucene/start-offset.xql; extensions/indexes/lucene/src/test/xquery/lucene/unicode-supplementary-lucene.xql; extensions/indexes/lucene/src/test/xquery/lucene/util-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/vector-search.xqm; extensions/indexes/ngram/src/test/xquery/ngram/for-variable.xql; extensions/indexes/ngram/src/test/xquery/ngram/match-highlighting-ngram.xql; extensions/indexes/ngram/src/test/xquery/ngram/unicode-supplementary-ngram.xql; extensions/indexes/range/src/test/xquery/range/conditions.xql; extensions/indexes/range/src/test/xquery/range/field-type.xql; extensions/indexes/range/src/test/xquery/range/fields.xql; extensions/indexes/range/src/test/xquery/range/for-variable.xql; extensions/indexes/range/src/test/xquery/range/index-keys.xql; extensions/indexes/range/src/test/xquery/range/multi-collection-search.xqm; extensions/indexes/range/src/test/xquery/range/optimizer.xql; extensions/indexes/range/src/test/xquery/range/prefixed-conditions.xql; extensions/indexes/range/src/test/xquery/range/range.xql; extensions/indexes/range/src/test/xquery/range/types.xql; extensions/indexes/range/src/test/xquery/range/unicode-supplementary-range.xql; extensions/indexes/range/src/test/xquery/range/updates.xql; extensions/modules/expathrepo/src/main/resources/org/exist/xquery/modules/expathrepo/repair.xql; extensions/modules/expathrepo/src/test/xquery/modules/expathrepo/deployment.xql; extensions/modules/expathrepo/src/test/xquery/modules/expathrepo/resource-available.xql; extensions/modules/file/src/test/resources/util/helper.xqm; extensions/modules/mail/access_imap_mailbox_example.xql; extensions/modules/mail/get_messages_example.xql; extensions/modules/xmldiff/src/test/xquery/modules/xmldiff/compare.xqm; extensions/modules/xmldiff/src/test/xquery/modules/xmldiff/diff.xqm; exist-core/src/test/java/org/exist/xmldb/TreeLevelOrderTest.java; exist-core/src/test/java/org/exist/util/io/FilterInputStreamCacheMonitorTest.java; exist-core/src/test/java/org/exist/xquery/DocumentUpdateTest.java; exist-core/src/test/java/org/exist/xquery/FollowingAxisPositionRegressionTest.java; exist-core/src/test/java/org/exist/xquery/IntersectElementReturnTypeTest.java; exist-core/src/test/java/org/exist/xquery/OptimizerTest.java; exist-core/src/test/java/org/exist/xquery/xqsuite/XQSuiteTearDownErrorTest.java; exist-core/src/test/java/org/exist/xquery/SelfAxisAttributeKindRegressionTest.java; exist-core/src/test/java/org/exist/xquery/XQueryTest.java; exist-core/src/test/java/org/exist/xquery/AxisPerformanceRegressionTest.java; exist-core/src/test/java/org/exist/xquery/PathExprAtomicRhsTest.java; exist-core/src/test/java/org/exist/xquery/ContextDependencyRegressionTest.java; exist-core/src/test/java/org/exist/xquery/SelfAxisProcessingInstructionRegressionTest.java; exist-core/src/test/java/org/exist/xquery/XQueryFunctionsTest.java; exist-core/src/test/java/org/exist/xquery/functions/validate/JingOnvdlTest.java; exist-core/src/test/java/org/exist/xquery/functions/xmldb/DbStoreTest.java; exist-core/src/test/java/org/exist/xquery/functions/xmldb/DbStore2Test.java; exist-core/src/test/java/org/exist/xquery/functions/util/ExpandTest.java; exist-core/src/test/java/org/exist/xquery/functions/fn/FunDeepEqualPerformanceTest.java; exist-core/src/test/java/org/exist/xquery/XQueryUpdateTest.java; exist-core/src/test/java/org/exist/xquery/NodeTypeTest.java; exist-core/src/test/java/org/exist/security/XMLDBSecurityTest.java; exist-core/src/test/java/org/exist/security/XqueryApiTest.java; exist-core/src/test/java/org/exist/storage/RecoverBinary2Test.java; exist-core/src/test/java/org/exist/http/StoredQueryLockReleaseTest.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTriggerSetGidTest.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTriggerSetUidTest.java; exist-core/src/test/java/org/exist/validation/CollectionConfigurationTest.java; exist-core/src/test/java/org/exist/validation/CollectionConfigurationValidationModeTest.java; extensions/indexes/lucene/src/test/java/xquery/lucene/VectorSearchEmbeddingTest.java; extensions/indexes/lucene/src/test/java/org/exist/indexing/lucene/FacetPollutionJavaReproducerTest.java; extensions/indexes/ngram/src/test/java/org/exist/indexing/ngram/CustomIndexTest.java; extensions/indexes/vector-it/src/test/java/xquery/lucene/VectorSearchEmbeddingIT.java; extensions/modules/expathrepo/src/test/java/org/exist/repo/PackageTriggerIT.java; extensions/modules/file/src/test/java/org/exist/xquery/modules/file/AbstractBinariesTest.java
exist-core/src/main/java/org/exist/xquery/functions/xmldb/XMLDBStore.java,org.exist.xquery.functions.xmldb.XMLDBStore,store-as-binary,true,extensions/modules/compression/src/test/xquery/modules/compression/zip-tests.xql; extensions/modules/image/src/test/xquery/modules/image/scale.xqm; exist-core/src/test/java/org/exist/security/XqueryApiTest.java
exist-core/src/main/java/org/exist/xquery/functions/xmldb/XMLDBRemove.java,org.exist.xquery.functions.xmldb.XMLDBRemove,remove,true,exist-core/src/main/resources/org/exist/xquery/lib/xqsuite/examples.xql; exist-core/src/test/xquery/arrays/arrays.xql; exist-core/src/test/xquery/axes-persistent-nodes.xqm; exist-core/src/test/xquery/axes.xql; exist-core/src/test/xquery/base-uri.xql; exist-core/src/test/xquery/binary-value.xqm; exist-core/src/test/xquery/collations.xq; exist-core/src/test/xquery/count.xql; exist-core/src/test/xquery/document-nodes.xq; exist-core/src/test/xquery/exceptOperator.xql; exist-core/src/test/xquery/fn-not.xq; exist-core/src/test/xquery/fn-position.xqm; exist-core/src/test/xquery/fn.xql; exist-core/src/test/xquery/guest.xql; exist-core/src/test/xquery/indexing/indexes-base-uri.xq; exist-core/src/test/xquery/inspect/inspect.xql; exist-core/src/test/xquery/last.xql; exist-core/src/test/xquery/logicalOp/andor.xql; exist-core/src/test/xquery/maps/maps.xqm; exist-core/src/test/xquery/npt.xqm; exist-core/src/test/xquery/optimizer/expressions.xqm; exist-core/src/test/xquery/optimizer/positional.xqm; exist-core/src/test/xquery/positional-nested.xql; exist-core/src/test/xquery/preceding-axis.xql; exist-core/src/test/xquery/question-marks-in-contains-function.xql; exist-core/src/test/xquery/securitymanager/id.xqm; exist-core/src/test/xquery/securitymanager/permission-error-codes.xqm; exist-core/src/test/xquery/simple-map-predicate.xq; exist-core/src/test/xquery/system/get-main-module-load-path.xqm; exist-core/src/test/xquery/system/get-module-load-path.xqm; exist-core/src/test/xquery/unicode.xqm; exist-core/src/test/xquery/unparsed-text.xql; exist-core/src/test/xquery/util/document-id.xqm; exist-core/src/test/xquery/util/get-fragment-between.xqm; exist-core/src/test/xquery/validation/jaxp.xql; exist-core/src/test/xquery/validation/jaxv.xql; exist-core/src/test/xquery/xmldb/copy-tests.xql; exist-core/src/test/xquery/xmldb/create-collection-tests.xql; exist-core/src/test/xquery/xmldb/last-modified.xql; exist-core/src/test/xquery/xmldb/permission-tests.xql; exist-core/src/test/xquery/xmldb/reindex-tests.xql; exist-core/src/test/xquery/xmldb/store-binary-tests.xql; exist-core/src/test/xquery/xmlid.xql; exist-core/src/test/xquery/xqsuite/custom-assertion.xqm; exist-core/src/test/xquery/xquery-update.xql; exist-core/src/test/xquery/xquery3/flwor.xql; exist-core/src/test/xquery/xquery3/fnExcept.xqm; exist-core/src/test/xquery/xquery3/fnIntersect.xqm; exist-core/src/test/xquery/xquery3/fnUriCollection.xqm; exist-core/src/test/xquery/xquery3/generate-id.xqm; exist-core/src/test/xquery/xquery3/higher-order.xqm; exist-core/src/test/xquery/xquery3/precedingFollowingAfterNot.xqm; exist-core/src/test/xquery/xquery3/serialize.xql; exist-core/src/test/xquery/xquery3/transform/doc-as-parameter.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform5052.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform5882.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform6065.xqm; exist-core/src/test/xquery/xquery3/xml-to-json.xql; extensions/exquery/restxq/src/test/xquery/restxq/arrays.xq; extensions/indexes/indexes-integration-tests/src/test/xquery/indexing/tests/exist-matches.xqm; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-diacritics.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-english.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/facet-drilldown-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/field-expression-context.xqm; extensions/indexes/lucene/src/test/xquery/lucene/for-variable.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-attr-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-edge.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-facets.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-field-types.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-match.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-forms.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-search-binary.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ignore-condition.xql; extensions/indexes/lucene/src/test/xquery/lucene/index-keys.xql; extensions/indexes/lucene/src/test/xquery/lucene/indirect-queries.xql; extensions/indexes/lucene/src/test/xquery/lucene/inline-elements.xql; extensions/indexes/lucene/src/test/xquery/lucene/inline-ignore.xql; extensions/indexes/lucene/src/test/xquery/lucene/match-highlighting.xql; extensions/indexes/lucene/src/test/xquery/lucene/optimizer-ft.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-location-step.xql; extensions/indexes/lucene/src/test/xquery/lucene/reindex-second-store.xqm; extensions/indexes/lucene/src/test/xquery/lucene/self-axis-index.xqm; extensions/indexes/lucene/src/test/xquery/lucene/serialize.xql; extensions/indexes/lucene/src/test/xquery/lucene/start-offset.xql; extensions/indexes/lucene/src/test/xquery/lucene/unicode-supplementary-lucene.xql; extensions/indexes/lucene/src/test/xquery/lucene/util-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/vector-search.xqm; extensions/indexes/ngram/src/test/xquery/ngram/for-variable.xql; extensions/indexes/ngram/src/test/xquery/ngram/match-highlighting-ngram.xql; extensions/indexes/ngram/src/test/xquery/ngram/unicode-supplementary-ngram.xql; extensions/indexes/range/src/test/xquery/range/conditions.xql; extensions/indexes/range/src/test/xquery/range/field-type.xql; extensions/indexes/range/src/test/xquery/range/fields.xql; extensions/indexes/range/src/test/xquery/range/for-variable.xql; extensions/indexes/range/src/test/xquery/range/index-keys.xql; extensions/indexes/range/src/test/xquery/range/multi-collection-search.xqm; extensions/indexes/range/src/test/xquery/range/optimizer.xql; extensions/indexes/range/src/test/xquery/range/prefixed-conditions.xql; extensions/indexes/range/src/test/xquery/range/range.xql; extensions/indexes/range/src/test/xquery/range/types.xql; extensions/indexes/range/src/test/xquery/range/unicode-supplementary-range.xql; extensions/indexes/range/src/test/xquery/range/updates.xql; extensions/modules/cache/src/test/xquery/modules/cache/cache.xqm; extensions/modules/expathrepo/src/main/resources/org/exist/xquery/modules/expathrepo/repair.xql; extensions/modules/expathrepo/src/test/xquery/modules/expathrepo/deployment.xql; extensions/modules/expathrepo/src/test/xquery/modules/expathrepo/resource-available.xql; extensions/modules/file/src/test/resources/util/helper.xqm; extensions/modules/image/src/test/xquery/modules/image/scale.xqm; extensions/modules/xmldiff/src/test/xquery/modules/xmldiff/compare.xqm; extensions/modules/xmldiff/src/test/xquery/modules/xmldiff/diff.xqm; exist-core/src/test/java/org/exist/xquery/SeqOpTest.java; exist-core/src/test/java/org/exist/xquery/DocumentUpdateTest.java; exist-core/src/test/java/org/exist/xquery/FollowingAxisPositionRegressionTest.java; exist-core/src/test/java/org/exist/xquery/IntersectElementReturnTypeTest.java; exist-core/src/test/java/org/exist/xquery/OptimizerTest.java; exist-core/src/test/java/org/exist/xquery/xqsuite/XQSuiteTearDownErrorTest.java; exist-core/src/test/java/org/exist/xquery/SelfAxisAttributeKindRegressionTest.java; exist-core/src/test/java/org/exist/xquery/AxisPerformanceRegressionTest.java; exist-core/src/test/java/org/exist/xquery/XPathQueryTest.java; exist-core/src/test/java/org/exist/xquery/PathExprAtomicRhsTest.java; exist-core/src/test/java/org/exist/xquery/SelfAxisProcessingInstructionRegressionTest.java; exist-core/src/test/java/org/exist/xquery/functions/fn/FunDeepEqualPerformanceTest.java; exist-core/src/test/java/org/exist/xquery/NodeTypeTest.java; exist-core/src/test/java/org/exist/security/XqueryApiTest.java; exist-core/src/test/java/org/exist/collections/ConcurrencyTest.java; extensions/indexes/vector-it/src/test/java/xquery/lucene/VectorSearchEmbeddingIT.java
exist-core/src/main/java/org/exist/xquery/functions/xmldb/XMLDBMove.java,org.exist.xquery.functions.xmldb.XMLDBMove,move,true,exist-core/src/main/resources/org/exist/xquery/lib/xqsuite/examples.xql; exist-core/src/test/xquery/arrays/arrays.xql; exist-core/src/test/xquery/axes-persistent-nodes.xqm; exist-core/src/test/xquery/axes.xql; exist-core/src/test/xquery/base-uri.xql; exist-core/src/test/xquery/binary-value.xqm; exist-core/src/test/xquery/collations.xq; exist-core/src/test/xquery/count.xql; exist-core/src/test/xquery/document-nodes.xq; exist-core/src/test/xquery/exceptOperator.xql; exist-core/src/test/xquery/fn-not.xq; exist-core/src/test/xquery/fn-position.xqm; exist-core/src/test/xquery/fn.xql; exist-core/src/test/xquery/guest.xql; exist-core/src/test/xquery/indexing/indexes-base-uri.xq; exist-core/src/test/xquery/inspect/inspect.xql; exist-core/src/test/xquery/last.xql; exist-core/src/test/xquery/logicalOp/andor.xql; exist-core/src/test/xquery/maps/maps.xqm; exist-core/src/test/xquery/npt.xqm; exist-core/src/test/xquery/optimizer/expressions.xqm; exist-core/src/test/xquery/optimizer/positional.xqm; exist-core/src/test/xquery/positional-nested.xql; exist-core/src/test/xquery/preceding-axis.xql; exist-core/src/test/xquery/question-marks-in-contains-function.xql; exist-core/src/test/xquery/securitymanager/id.xqm; exist-core/src/test/xquery/securitymanager/permission-error-codes.xqm; exist-core/src/test/xquery/simple-map-predicate.xq; exist-core/src/test/xquery/system/get-main-module-load-path.xqm; exist-core/src/test/xquery/system/get-module-load-path.xqm; exist-core/src/test/xquery/unicode.xqm; exist-core/src/test/xquery/unparsed-text.xql; exist-core/src/test/xquery/util/document-id.xqm; exist-core/src/test/xquery/util/get-fragment-between.xqm; exist-core/src/test/xquery/validation/jaxp.xql; exist-core/src/test/xquery/validation/jaxv.xql; exist-core/src/test/xquery/xmldb/copy-tests.xql; exist-core/src/test/xquery/xmldb/create-collection-tests.xql; exist-core/src/test/xquery/xmldb/last-modified.xql; exist-core/src/test/xquery/xmldb/permission-tests.xql; exist-core/src/test/xquery/xmldb/reindex-tests.xql; exist-core/src/test/xquery/xmldb/store-binary-tests.xql; exist-core/src/test/xquery/xmlid.xql; exist-core/src/test/xquery/xqsuite/custom-assertion.xqm; exist-core/src/test/xquery/xquery-update.xql; exist-core/src/test/xquery/xquery3/flwor.xql; exist-core/src/test/xquery/xquery3/fnExcept.xqm; exist-core/src/test/xquery/xquery3/fnIntersect.xqm; exist-core/src/test/xquery/xquery3/fnUriCollection.xqm; exist-core/src/test/xquery/xquery3/generate-id.xqm; exist-core/src/test/xquery/xquery3/higher-order.xqm; exist-core/src/test/xquery/xquery3/precedingFollowingAfterNot.xqm; exist-core/src/test/xquery/xquery3/serialize.xql; exist-core/src/test/xquery/xquery3/transform/doc-as-parameter.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform5052.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform5882.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform6065.xqm; exist-core/src/test/xquery/xquery3/xml-to-json.xql; extensions/exquery/restxq/src/test/xquery/restxq/arrays.xq; extensions/indexes/indexes-integration-tests/src/test/xquery/indexing/tests/exist-matches.xqm; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-diacritics.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-english.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/facet-drilldown-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/field-expression-context.xqm; extensions/indexes/lucene/src/test/xquery/lucene/for-variable.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-attr-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-edge.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-facets.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-field-types.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-match.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-forms.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-search-binary.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ignore-condition.xql; extensions/indexes/lucene/src/test/xquery/lucene/index-keys.xql; extensions/indexes/lucene/src/test/xquery/lucene/indirect-queries.xql; extensions/indexes/lucene/src/test/xquery/lucene/inline-elements.xql; extensions/indexes/lucene/src/test/xquery/lucene/inline-ignore.xql; extensions/indexes/lucene/src/test/xquery/lucene/match-highlighting.xql; extensions/indexes/lucene/src/test/xquery/lucene/optimizer-ft.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-location-step.xql; extensions/indexes/lucene/src/test/xquery/lucene/reindex-second-store.xqm; extensions/indexes/lucene/src/test/xquery/lucene/self-axis-index.xqm; extensions/indexes/lucene/src/test/xquery/lucene/serialize.xql; extensions/indexes/lucene/src/test/xquery/lucene/start-offset.xql; extensions/indexes/lucene/src/test/xquery/lucene/unicode-supplementary-lucene.xql; extensions/indexes/lucene/src/test/xquery/lucene/util-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/vector-search.xqm; extensions/indexes/ngram/src/test/xquery/ngram/for-variable.xql; extensions/indexes/ngram/src/test/xquery/ngram/match-highlighting-ngram.xql; extensions/indexes/ngram/src/test/xquery/ngram/unicode-supplementary-ngram.xql; extensions/indexes/range/src/test/xquery/range/conditions.xql; extensions/indexes/range/src/test/xquery/range/field-type.xql; extensions/indexes/range/src/test/xquery/range/fields.xql; extensions/indexes/range/src/test/xquery/range/for-variable.xql; extensions/indexes/range/src/test/xquery/range/index-keys.xql; extensions/indexes/range/src/test/xquery/range/multi-collection-search.xqm; extensions/indexes/range/src/test/xquery/range/optimizer.xql; extensions/indexes/range/src/test/xquery/range/prefixed-conditions.xql; extensions/indexes/range/src/test/xquery/range/range.xql; extensions/indexes/range/src/test/xquery/range/types.xql; extensions/indexes/range/src/test/xquery/range/unicode-supplementary-range.xql; extensions/indexes/range/src/test/xquery/range/updates.xql; extensions/modules/cache/src/test/xquery/modules/cache/cache.xqm; extensions/modules/expathrepo/src/main/resources/org/exist/xquery/modules/expathrepo/repair.xql; extensions/modules/expathrepo/src/test/xquery/modules/expathrepo/deployment.xql; extensions/modules/expathrepo/src/test/xquery/modules/expathrepo/resource-available.xql; extensions/modules/file/src/test/resources/util/helper.xqm; extensions/modules/image/src/test/xquery/modules/image/scale.xqm; extensions/modules/xmldiff/src/test/xquery/modules/xmldiff/compare.xqm; extensions/modules/xmldiff/src/test/xquery/modules/xmldiff/diff.xqm; exist-core/src/test/java/org/exist/xquery/SeqOpTest.java; exist-core/src/test/java/org/exist/xquery/DocumentUpdateTest.java; exist-core/src/test/java/org/exist/xquery/FollowingAxisPositionRegressionTest.java; exist-core/src/test/java/org/exist/xquery/IntersectElementReturnTypeTest.java; exist-core/src/test/java/org/exist/xquery/OptimizerTest.java; exist-core/src/test/java/org/exist/xquery/xqsuite/XQSuiteTearDownErrorTest.java; exist-core/src/test/java/org/exist/xquery/SelfAxisAttributeKindRegressionTest.java; exist-core/src/test/java/org/exist/xquery/AxisPerformanceRegressionTest.java; exist-core/src/test/java/org/exist/xquery/XPathQueryTest.java; exist-core/src/test/java/org/exist/xquery/PathExprAtomicRhsTest.java; exist-core/src/test/java/org/exist/xquery/SelfAxisProcessingInstructionRegressionTest.java; exist-core/src/test/java/org/exist/xquery/functions/fn/FunDeepEqualPerformanceTest.java; exist-core/src/test/java/org/exist/xquery/NodeTypeTest.java; exist-core/src/test/java/org/exist/security/XqueryApiTest.java; exist-core/src/test/java/org/exist/collections/triggers/XQueryTriggerChainTest.java; exist-core/src/test/java/org/exist/collections/ConcurrencyTest.java; extensions/indexes/vector-it/src/test/java/xquery/lucene/VectorSearchEmbeddingIT.java
